NAME,LABEL,LONG,OLD_LONG,ABBREVIATION,SHORT,REQ_MAG,FORMAT,
Avalanche, Avalanche, aval, ,AV, , , ,
Blizzard, Blizzard, bliz,bliz ,BL, B, , ,
Coastal Flood, Coastal Flood, csfl, ,CF, , , ,
Debris Flow, Debris Flow, dbfl, ,DF, , , ,
Dense Fog, Dense Fog, defg, ,FG, , , ,
Downburst, Downburst, dnbt, ,DB, , , ,
Drought, Drought, drgt, ,DR, , , ,
Dust Storm, Dust Storm, dust, ,DS, , , ,
Excessive Heat, Excessive Heat, exht, ,EH, , , ,
Extreme Cold, Extreme Cold, excd, ,EC, , , ,
Extr Wind Chill, Extreme Wind Chill, exwc, ,WC, , , ,
Flash Flood, Flash Flood, flfd, flashflood ,FF, O, , ,
Flood, Flood, flod,flood ,FL, D, , ,
Freeze, Freeze, frez, ,FZ, , , ,
Freezing Rain, Fz Rain, fzra, fzrn,FR, F, ,%3d,
Funnel Cloud, Funnel Cd, fcld, ,FC, , , ,
Hail, Hail, hail,hail ,HA, A,100,%3d,
Heavy Rain, Heavy Rain, hvra, hrain,HR, V, ,%3d,
Heavy Snow, Hvy Snow, hvsn, hsnow,HS, H, ,%3d,
High Astr Tides, High Tides, htid, ,HT, , , ,
High Sust Winds, High Sust Winds, hwnd, ,HW, , , ,
Hurricane, Hurricane, hurr, ,HU, , , ,
Ice Storm, Ice Storm, istm, ice,IS, I, ,%3d,
Lakeshore Flood, Lkshore Fld, lkfl, ,LF, , , ,
Lightning, Lightning, lght, lightning,LI, C, , ,
Marine Hail, Marine Hail, mhal, ,MH, , ,%3d,
Marine Tstm Wind, Marine Wnd, mwnd, ,MW, , ,%1d,
Non-Tstm Wnd Dmg, NonTS Wnd Dmg, ntwd, ,NW, , , ,
Non-Tstm Wnd Gst, NonTS Wnd Gst, ntwg, ,NG, , ,%1d,
Rip Currents, Rip Current, ripc, ,RC, , , ,
Seiche, Seiche, seic, ,SE, , , ,
Significant Hail, Sig Hail, sighail, ,SH, ,200,%3d,
Significant Wind Gust, Sig Wind, sigwind, ,SG, ,75,%1d,
Sleet, Sleet, slet, sleet,SL, L, ,%3d,
Sneaker Wave, Snkr Wave, snwv, ,SW, , , ,
Snow, Snow, snow, snow,SN, S, ,%3d,
Storm Surge, Storm Surge, srge, ,SS, , , ,
Tornado, Tornado, torn, torn,TO, T, , ,
Tropical Storm, Tropical Storm, tpst, ,TS, , , ,
Tsunami, Tsunami, tsun, ,TU, , , ,
Tstm Wnd Dmg, Wind Dmg, wndg, wndg,TW, W, , ,
Tstm Wnd Gst, Wind Gust, wind, gust,TG, G,58,%1d
Volcanic Ashfall, Volc Ashfall, vash, ,VA, , , ,
Water Spout, Water Spout, wspt, ,WS, , , ,
Wildfire, Wildfire, fire, fire,WF, R, , ,
